Ente;Liste/Gruppi;Voti;Year;
ITALIA;FR.ANTIBOLSCEVICO IT;2756;1948;
ITALIA;UN.SOCIAL.INDIP.;2637;1948;
ITALIA;RAGGRUP.POP.ITALIANO;2191;1948;
ITALIA;FR.UN.ANTICOM.RIS.N.;2091;1948;
ITALIA;MAGLIO;1642;1948;
ITALIA;CONF.IT.LIBERI SIND.;1531;1948;
ITALIA;M.NAZ.SIN.DAN.GUERRA;1179;1948;
ITALIA;LEGA SARDA;1117;1948;
ITALIA;M.CAT.IND.PAX JUSTIT;961;1948;
ITALIA;P.ESISTENZIALISTA IT;816;1948;
ITALIA;DC;13233620;1987;
ITALIA;PCI;10250644;1987;
ITALIA;PSI;5501696;1987;
ITALIA;MSI-DN;2281126;1987;
ITALIA;PRI;1428663;1987;
ITALIA;PSDI;1140209;1987;
ITALIA;P.RAD;987720;1987;
ITALIA;LISTA VERDE;969218;1987;
ITALIA;PLI;809946;1987;
ITALIA;DEM.PROL;641901;1987;
ITALIA;LIGA VENETA-PU;298402;1987;
ITALIA;PPST;202022;1987;
ITALIA;LEGA LOMBARDA;186255;1987;
ITALIA;PS D'AZ.;169978;1987;
ITALIA;PIEMONT-AUT.REG.;72064;1987;
ITALIA;PIEMONT;61701;1987;
ITALIA;CPA;55911;1987;
ITALIA;UV-ADP-PRI;41707;1987;
ITALIA;DC-PCI-PSI-PSDI;29937;1987;
ITALIA;ALL.POP.;25339;1987;
ITALIA;MOV.LIB.FISCALE;25046;1987;
ITALIA;ALL.PENS.;21342;1987;
ITALIA;P.VERDE I.VER.E.;20916;1987;
ITALIA;MOV.VEN.REG.AUT;18945;1987;
ITALIA;MOV.NAZ.IT.CACC.;14787;1987;
ITALIA;PNI-CACCIA PESCA;14306;1987;
ITALIA;MOV.FRIULI;13208;1987;
ITALIA;PART.SUD.TIROL;11287;1987;
ITALIA;VERDI IT.-P.ECOL;10269;1987;
ITALIA;PARTIDU INDIP.;9958;1987;
ITALIA;ALL.UM.;5585;1987;
ITALIA;NPP;5055;1987;
ITALIA;GIUST. E LIB.;4793;1987;
ITALIA;RINASCITA SIC.;2951;1987;
ITALIA;PART.NAZ.INQ.;2898;1987;
ITALIA;MOV.IND.TLT;2103;1987;
ITALIA;FORZA ITALIA;10923431;2001;
ITALIA;DEMOCRATICI SINISTRA;6151154;2001;
ITALIA;LA MARGHERITA;5391827;2001;
ITALIA;ALLEANZA NAZIONALE;4463205;2001;
ITALIA;RIFONDAZIONE COMUNISTA;1868659;2001;
ITALIA;LEGA NORD;1464301;2001;
ITALIA;LISTA DI PIETRO;1443725;2001;
ITALIA;CCD-CDU;1194040;2001;
ITALIA;DEMOCRAZIA EUROPEA;888249;2001;
ITALIA;PANNELLA-BONINO;832213;2001;
ITALIA;IL GIRASOLE;805340;2001;
ITALIA;COMUNISTI ITALIANI;620859;2001;
ITALIA;NUOVO PSI;353269;2001;
ITALIA;SVP;200059;2001;
ITALIA;FIAMMA TRICOLORE;143963;2001;
ITALIA;LIGA FRONTE VENETO;74353;2001;
ITALIA;PARTITO PENSIONATI;68349;2001;
ITALIA;PS D'AZ-SARD.NATZ.;34412;2001;
ITALIA;PAESE NUOVO;34193;2001;
ITALIA;ABOLIZIONE SCORPORO;26917;2001;
ITALIA;LEGA D'AZIONE MERIDIONALE;23779;2001;
ITALIA;FRONTE NAZIONALE;22985;2001;
ITALIA;VERDI-VERDI;18262;2001;
ITALIA;FORZA NUOVA;13622;2001;
ITALIA;LISTA AMADU;11517;2001;
ITALIA;REPUBBLICANI EUROPEI;7997;2001;
ITALIA;NOI SICILIANI;7637;2001;
ITALIA;MOVIMENTO DELLE LIBERTA';6754;2001;
ITALIA;LIBERI E FORTI;6722;2001;
ITALIA;SOCIAL.AUTON.;6492;2001;
ITALIA;LIBDEM.BASTA;6332;2001;
ITALIA;COMUNISMO;5244;2001;
ITALIA;TERZO POLO AUTONOMIA;2915;2001;
ITALIA (escl. Valle d'Aosta);PARTITO DEMOCRATICO;12095306;2008;
ITALIA (escl. Valle d'Aosta);DI PIETRO ITALIA DEI VALORI;1594024;2008;
ITALIA (escl. Valle d'Aosta);IL POPOLO DELLA LIBERTA';13629464;2008;
ITALIA (escl. Valle d'Aosta);LEGA NORD;3024543;2008;
ITALIA (escl. Valle d'Aosta);MOVIMENTO PER L'AUTONOMIA ALL.PER IL SUD;410499;2008;
ITALIA (escl. Valle d'Aosta);LA SINISTRA L'ARCOBALENO;1124298;2008;
ITALIA (escl. Valle d'Aosta);UNIONE DI CENTRO;2050229;2008;
ITALIA (escl. Valle d'Aosta);LA DESTRA - FIAMMA TRICOLORE;884961;2008;
ITALIA (escl. Valle d'Aosta);M.E.D.A.;16483;2008;
ITALIA (escl. Valle d'Aosta);DIE FREIHEITLICHEN;28340;2008;
ITALIA (escl. Valle d'Aosta);SVP;147718;2008;
ITALIA (escl. Valle d'Aosta);SARDIGNA NATZIONE;7176;2008;
ITALIA (escl. Valle d'Aosta);LEGA SUD;4399;2008;
